"Gross Output by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: November 2, 2017"
"Line","","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"    1","  Mining",149.1,153.9,216.3,224.2,194.0,250.5,297.8,391.8,439.9,471.4,592.4,380.4
"    2","  Construction",774.5,838.4,911.8,955.2,967.9,1035.1,1152.5,1280.1,1345.0,1329.4,1266.0,1090.4
"    3","  Manufacturing",3913.1,4045.6,4225.3,4001.4,3939.9,4025.8,4336.0,4770.9,5052.8,5354.4,5457.8,4469.3
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
